Reference, Value, Footprint, Datasheet, PartNo
"SW1","B1","talentBadge:SW_TL3342F160QG","https://www.mouser.com/ds/2/140/TL3342-346157.pdf","TL3342F160QG"
"C1","4.7uF","Capacitors_SMD:C_0805_HandSoldering","https://www.mouser.com/ds/2/445/885012107013-553998.pdf","885012107013"
"U3","SP0503BAHTG","talentBadge:SOT143","https://www.mouser.com/ds/2/240/Littelfuse_TVS_Diode_Array_SP05_Datasheet.pdf-777043.pdf","SP0503BAHTG"
"P1","USB_A","talentBadge:629105150921","https://www.mouser.com/ds/2/445/629105150921-469278.pdf","629105150921"
"U5","ws2812b","LEDs:LED_WS2812B-PLCC4","http://www.seeedstudio.com/document/pdf/WS2812B%20Datasheet.pdf","ws2812b"
"C7","0.1uF","Capacitors_SMD:C_0805_HandSoldering","https://www.mouser.com/ds/2/445/885012207045-554527.pdf","885012207045 "
"U4","AP111733","TO_SOT_Packages_SMD:SOT-223","https://www.mouser.com/ds/2/115/AP1117-82280.pdf","AP1117E33G-13"
"C3","4.7uF","Capacitors_SMD:C_0805_HandSoldering","https://www.mouser.com/ds/2/40/TPS_AUTO-845414.pdf","TPSA475K010T1400"
"R2","470","Resistors_SMD:R_0805_HandSoldering",""
"P5","sd_card_spi","talentBadge:MOLEX_0475710001","https://www.molex.com/pdm_docs/sd/475710001_sd.pdf","47571-0001 "
"R13","10k","Resistors_SMD:R_0805_HandSoldering","https://www.mouser.com/ds/2/447/Yageo_08112016_RC0805-1211991.pdf","RC0805FR-0710KL"
"C5","4.7uF","Capacitors_SMD:C_0805_HandSoldering","https://www.mouser.com/ds/2/40/TPS_AUTO-845414.pdf","TPSA475K010T1400 "
"P2","OLED","Pin_Headers:Pin_Header_Straight_1x04_Pitch2.54mm",""
"R3","1k","Resistors_SMD:R_0805_HandSoldering",""
"Q1","MMBT3904","TO_SOT_Packages_SMD:SOT-23","https://www.mouser.com/ds/2/115/ds30036-41708.pdf","MMBT3904-7-F"
"F1","Fuse_Small","talentBadge:0440.500WRA","https://www.mouser.com/ds/2/240/Littelfuse_Fuse_440A_Datasheet.pdf-1218502.pdf","0440.500WRA"
"P3","Batt","Pin_Headers:Pin_Header_Straight_1x02_Pitch2.54mm",""
"P4","PS","Pin_Headers:Pin_Header_Straight_1x02_Pitch2.54mm",""
"D2","Diode","Diodes_SMD:D_SMA","https://www.mouser.com/ds/2/308/SS12-1125402.pdf","SS12"
"Q3","IR phototransistor","LEDs:LED_D5.0mm","","PT1302B/C2"
"D1","LED","LEDs:LED_D3.0mm","https://www.mouser.com/ds/2/445/15400394A3590-1113633.pdf","15400394A3590 "
"U6","ws2812b","LEDs:LED_WS2812B-PLCC4","http://www.seeedstudio.com/document/pdf/WS2812B%20Datasheet.pdf","ws2812b"
"U7","ws2812b","LEDs:LED_WS2812B-PLCC4","http://www.seeedstudio.com/document/pdf/WS2812B%20Datasheet.pdf","ws2812b"
"U8","ws2812b","LEDs:LED_WS2812B-PLCC4","http://www.seeedstudio.com/document/pdf/WS2812B%20Datasheet.pdf","ws2812b"
"U9","ws2812b","LEDs:LED_WS2812B-PLCC4","http://www.seeedstudio.com/document/pdf/WS2812B%20Datasheet.pdf","ws2812b"
"U10","ws2812b","LEDs:LED_WS2812B-PLCC4","http://www.seeedstudio.com/document/pdf/WS2812B%20Datasheet.pdf","ws2812b"
"U11","ws2812b","LEDs:LED_WS2812B-PLCC4","http://www.seeedstudio.com/document/pdf/WS2812B%20Datasheet.pdf","ws2812b"
"U12","ws2812b","LEDs:LED_WS2812B-PLCC4","http://www.seeedstudio.com/document/pdf/WS2812B%20Datasheet.pdf","ws2812b"
"U13","ws2812b","LEDs:LED_WS2812B-PLCC4","http://www.seeedstudio.com/document/pdf/WS2812B%20Datasheet.pdf","ws2812b"
"U14","ws2812b","LEDs:LED_WS2812B-PLCC4","http://www.seeedstudio.com/document/pdf/WS2812B%20Datasheet.pdf","ws2812b"
"U15","ws2812b","LEDs:LED_WS2812B-PLCC4","http://www.seeedstudio.com/document/pdf/WS2812B%20Datasheet.pdf","ws2812b"
"U16","ws2812b","LEDs:LED_WS2812B-PLCC4","http://www.seeedstudio.com/document/pdf/WS2812B%20Datasheet.pdf","ws2812b"
"C8","0.1uF","Capacitors_SMD:C_0805_HandSoldering","https://www.mouser.com/ds/2/445/885012207045-554527.pdf","885012207045 "
"C9","0.1uF","Capacitors_SMD:C_0805_HandSoldering","https://www.mouser.com/ds/2/445/885012207045-554527.pdf","885012207045 "
"C10","0.1uF","Capacitors_SMD:C_0805_HandSoldering","https://www.mouser.com/ds/2/445/885012207045-554527.pdf","885012207045 "
"C11","0.1uF","Capacitors_SMD:C_0805_HandSoldering","https://www.mouser.com/ds/2/445/885012207045-554527.pdf","885012207045 "
"C12","0.1uF","Capacitors_SMD:C_0805_HandSoldering","https://www.mouser.com/ds/2/445/885012207045-554527.pdf","885012207045 "
"C13","0.1uF","Capacitors_SMD:C_0805_HandSoldering","https://www.mouser.com/ds/2/445/885012207045-554527.pdf","885012207045 "
"C14","0.1uF","Capacitors_SMD:C_0805_HandSoldering","https://www.mouser.com/ds/2/445/885012207045-554527.pdf","885012207045 "
"C15","0.1uF","Capacitors_SMD:C_0805_HandSoldering","https://www.mouser.com/ds/2/445/885012207045-554527.pdf","885012207045 "
"C16","0.1uF","Capacitors_SMD:C_0805_HandSoldering","https://www.mouser.com/ds/2/445/885012207045-554527.pdf","885012207045 "
"C17","0.1uF","Capacitors_SMD:C_0805_HandSoldering","https://www.mouser.com/ds/2/445/885012207045-554527.pdf","885012207045 "
"C18","0.1uF","Capacitors_SMD:C_0805_HandSoldering","https://www.mouser.com/ds/2/445/885012207045-554527.pdf","885012207045 "
"C6","0.1uF","Capacitors_SMD:C_0805_HandSoldering","https://www.mouser.com/ds/2/445/885012207045-554527.pdf","885012207045 "
"R12","10k","Resistors_SMD:R_0805_HandSoldering","https://www.mouser.com/ds/2/447/Yageo_08112016_RC0805-1211991.pdf","RC0805FR-0710KL"
"R11","10k","Resistors_SMD:R_0805_HandSoldering","https://www.mouser.com/ds/2/447/Yageo_08112016_RC0805-1211991.pdf","RC0805FR-0710KL"
"R10","10k","Resistors_SMD:R_0805_HandSoldering","https://www.mouser.com/ds/2/447/Yageo_08112016_RC0805-1211991.pdf","RC0805FR-0710KL"
"R14","10k","Resistors_SMD:R_0805_HandSoldering","https://www.mouser.com/ds/2/447/Yageo_08112016_RC0805-1211991.pdf","RC0805FR-0710KL"
"R1","10k","Resistors_SMD:R_0805_HandSoldering","https://www.mouser.com/ds/2/447/Yageo_08112016_RC0805-1211991.pdf","RC0805FR-0710KL"
"R4","10k","Resistors_SMD:R_0805_HandSoldering","https://www.mouser.com/ds/2/447/Yageo_08112016_RC0805-1211991.pdf","RC0805FR-0710KL"
"R5","10k","Resistors_SMD:R_0805_HandSoldering","https://www.mouser.com/ds/2/447/Yageo_08112016_RC0805-1211991.pdf","RC0805FR-0710KL"
"R6","10k","Resistors_SMD:R_0805_HandSoldering","https://www.mouser.com/ds/2/447/Yageo_08112016_RC0805-1211991.pdf","RC0805FR-0710KL"
"R7","10k","Resistors_SMD:R_0805_HandSoldering","https://www.mouser.com/ds/2/447/Yageo_08112016_RC0805-1211991.pdf","RC0805FR-0710KL"
"R8","10k","Resistors_SMD:R_0805_HandSoldering","https://www.mouser.com/ds/2/447/Yageo_08112016_RC0805-1211991.pdf","RC0805FR-0710KL"
"Q2","MMBT3904","TO_SOT_Packages_SMD:SOT-23","https://www.mouser.com/ds/2/115/ds30036-41708.pdf","MMBT3904-7-F"
"SW2","B2","talentBadge:SW_TL3342F160QG","https://www.mouser.com/ds/2/140/TL3342-346157.pdf","TL3342F160QG"
"SW3","RST","talentBadge:SW_TL3342F160QG","https://www.mouser.com/ds/2/140/TL3342-346157.pdf","TL3342F160QG"
"C4","4.7uF","Capacitors_SMD:C_0805_HandSoldering","https://www.mouser.com/ds/2/40/TPS_AUTO-845414.pdf","TPSA475K010T1400"
"C2","0.1uF","Capacitors_SMD:C_0805_HandSoldering","https://www.mouser.com/ds/2/445/885012207045-554527.pdf","885012207045 "
"R15","10K","Resistors_SMD:R_0805_HandSoldering",""
"U1","esp8266-12","",""
"U2","CP2102N","talentBadge:QFN-24-5x5mm_Pitch0.50mm","https://www.mouser.com/ds/2/368/cp2102n-datasheet-1082647.pdf","CP2102N-A01-GQFN24"
"R9","100","Resistors_SMD:R_0805_HandSoldering","https://www.mouser.com/ds/2/447/Yageo_08112016_RC0805-1211991.pdf","RC0805FR-07100RL"
